Overallrank,Country,Score,GDPpercapita,Socialsupport,Healthylifeexpectancy,Freedom,Generosity,corruption
29,Qatar,6.374,1.684,1.313,0.871,0.555,0.22,0.167
14,Luxembourg,7.09,1.609,1.479,1.012,0.526,0.194,0.316
34,Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453
21,United Arab Emirates,6.825,1.503,1.31,0.825,0.598,0.262,0.182
51,Kuwait,6.021,1.5,1.319,0.808,0.493,0.142,0.097
16,Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.31
3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341
6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343
76,Hong Kong,5.43,1.438,1.277,1.122,0.44,0.258,0.287
19,United States,6.892,1.433,1.457,0.874,0.454,0.28,0.128
